# {"t_start": 1551044220.731029, "env_id": "MyBulletCartPole-v0"} 
r,l,t
20.0,20,4.42858
31.0,31,4.455366
23.0,23,4.477732
22.0,22,4.496121
22.0,22,4.51659
26.0,26,4.539267
17.0,17,4.554807
13.0,13,4.566088
32.0,32,4.595168
42.0,42,4.631213
17.0,17,4.645782
26.0,26,4.666601
14.0,14,4.680102
12.0,12,4.691289
40.0,40,4.727689
20.0,20,4.7474
16.0,16,4.761543
29.0,29,4.786107
44.0,44,4.826692
17.0,17,4.840894
16.0,16,4.856323
14.0,14,4.870203
34.0,34,4.899552
18.0,18,4.916184
14.0,14,4.929827
9.0,9,4.937535
9.0,9,4.945744
10.0,10,4.95552
15.0,15,4.969887
31.0,31,4.994956
14.0,14,5.006788
29.0,29,5.184862
10.0,10,5.194185
24.0,24,5.216498
13.0,13,5.228301
19.0,19,5.245921
34.0,34,5.275509
32.0,32,5.304534
18.0,18,5.320419
44.0,44,5.356298
20.0,20,5.373705
82.0,82,5.441877
58.0,58,5.489967
29.0,29,5.516151
17.0,17,5.530127
18.0,18,5.546414
19.0,19,5.56289
13.0,13,5.575203
21.0,21,5.593911
26.0,26,5.618226
25.0,25,5.639168
28.0,28,5.664335
19.0,19,5.680003
12.0,12,5.692411
11.0,11,5.702279
17.0,17,5.716651
24.0,24,5.737735
10.0,10,5.746731
21.0,21,5.764796
14.0,14,5.776801
40.0,40,5.812774
20.0,20,5.831125
24.0,24,5.853337
34.0,34,5.881844
21.0,21,5.899238
28.0,28,5.922908
15.0,15,5.936618
14.0,14,5.947675
15.0,15,5.960177
31.0,31,5.987335
22.0,22,6.00616
29.0,29,6.03217
32.0,32,6.060034
12.0,12,6.070741
35.0,35,6.100817
27.0,27,6.125533
22.0,22,6.143774
102.0,102,6.227891
40.0,40,6.26203
35.0,35,6.290872
16.0,16,6.304465
17.0,17,6.31969
24.0,24,6.341066
65.0,65,6.393564
28.0,28,6.418718
19.0,19,6.436168
13.0,13,6.446775
73.0,73,6.508071
10.0,10,6.516221
23.0,23,6.535865
25.0,25,6.558323
19.0,19,6.574109
42.0,42,6.610944
28.0,28,6.633949
8.0,8,6.641357
34.0,34,6.670227
34.0,34,6.700329
12.0,12,6.711705
26.0,26,6.734422
34.0,34,6.763203
27.0,27,6.786533
14.0,14,6.798757
36.0,36,6.829112
12.0,12,6.84027
15.0,15,6.853828
20.0,20,6.871737
25.0,25,6.893457
15.0,15,6.907205
51.0,51,7.106571
29.0,29,7.136244
30.0,30,7.165035
24.0,24,7.187033
14.0,14,7.199952
27.0,27,7.222578
15.0,15,7.235007
38.0,38,7.267423
16.0,16,7.281163
28.0,28,7.304217
17.0,17,7.319846
25.0,25,7.341211
27.0,27,7.365297
30.0,30,7.391492
14.0,14,7.403044
30.0,30,7.429333
22.0,22,7.44826
22.0,22,7.467403
44.0,44,7.505513
17.0,17,7.521566
11.0,11,7.530314
27.0,27,7.553619
12.0,12,7.563823
40.0,40,7.59746
19.0,19,7.613495
34.0,34,7.642868
57.0,57,7.692586
81.0,81,7.762256
30.0,30,7.786763
15.0,15,7.8002
11.0,11,7.809303
22.0,22,7.82867
17.0,17,7.843125
12.0,12,7.852999
10.0,10,7.861001
41.0,41,7.894329
12.0,12,7.90573
20.0,20,7.922878
9.0,9,7.931132
23.0,23,7.951192
25.0,25,7.972549
21.0,21,7.991577
39.0,39,8.024147
14.0,14,8.035583
30.0,30,8.062057
40.0,40,8.096693
12.0,12,8.108837
26.0,26,8.131456
17.0,17,8.146585
11.0,11,8.156528
37.0,37,8.18736
33.0,33,8.216182
50.0,50,8.258292
118.0,118,8.35896
28.0,28,8.382549
10.0,10,8.391758
48.0,48,8.433889
10.0,10,8.442941
22.0,22,8.461697
36.0,36,8.489607
57.0,57,8.537913
48.0,48,8.581859
19.0,19,8.600192
38.0,38,8.629115
11.0,11,8.639694
8.0,8,8.647917
52.0,52,8.693164
38.0,38,8.726296
31.0,31,8.751507
64.0,64,8.803557
24.0,24,8.824031
12.0,12,8.835587
34.0,34,9.014801
13.0,13,9.028519
19.0,19,9.04531
52.0,52,9.089628
32.0,32,9.119659
19.0,19,9.135642
51.0,51,9.180895
35.0,35,9.210945
23.0,23,9.228797
25.0,25,9.252283
30.0,30,9.275898
8.0,8,9.283525
27.0,27,9.307891
22.0,22,9.327355
22.0,22,9.346212
19.0,19,9.363245
27.0,27,9.385346
24.0,24,9.406561
25.0,25,9.42665
25.0,25,9.448019
30.0,30,9.471817
19.0,19,9.488603
13.0,13,9.498953
18.0,18,9.513439
11.0,11,9.523383
39.0,39,9.554827
37.0,37,9.585962
24.0,24,9.605909
46.0,46,9.645957
43.0,43,9.682344
27.0,27,9.705135
38.0,38,9.737581
36.0,36,9.76762
26.0,26,9.789733
44.0,44,9.828117
48.0,48,9.867819
51.0,51,9.912647
18.0,18,9.92762
10.0,10,9.9376
12.0,12,9.948305
24.0,24,9.968631
19.0,19,9.986265
16.0,16,10.000433
19.0,19,10.017787
23.0,23,10.039164
59.0,59,10.088119
43.0,43,10.124819
58.0,58,10.17087
47.0,47,10.212173
13.0,13,10.224204
14.0,14,10.236467
32.0,32,10.26525
17.0,17,10.278951
13.0,13,10.291163
48.0,48,10.333266
23.0,23,10.35182
14.0,14,10.364354
24.0,24,10.384005
31.0,31,10.409428
17.0,17,10.423556
42.0,42,10.457754
30.0,30,10.485212
40.0,40,10.519026
16.0,16,10.533231
9.0,9,10.540913
22.0,22,10.559577
9.0,9,10.567927
28.0,28,10.591763
60.0,60,10.642584
15.0,15,10.656417
53.0,53,10.701494
11.0,11,10.7114
72.0,72,10.922554
18.0,18,10.94056
12.0,12,10.954299
25.0,25,10.977601
15.0,15,10.99103
21.0,21,11.009399
18.0,18,11.024944
30.0,30,11.050515
19.0,19,11.066381
57.0,57,11.1151
24.0,24,11.135714
27.0,27,11.158293
55.0,55,11.20376
27.0,27,11.227124
22.0,22,11.246701
19.0,19,11.262899
47.0,47,11.304077
46.0,46,11.341637
43.0,43,11.375626
11.0,11,11.386415
19.0,19,11.401986
20.0,20,11.41832
38.0,38,11.450625
80.0,80,11.516578
25.0,25,11.538123
29.0,29,11.56201
16.0,16,11.575713
24.0,24,11.597153
17.0,17,11.61132
22.0,22,11.629254
27.0,27,11.652419
21.0,21,11.670614
21.0,21,11.688073
17.0,17,11.701719
28.0,28,11.723753
24.0,24,11.743719
16.0,16,11.757683
17.0,17,11.7714
11.0,11,11.782073
76.0,76,11.847325
19.0,19,11.862428
45.0,45,11.898813
25.0,25,11.919375
14.0,14,11.933048
13.0,13,11.945261
33.0,33,11.971342
31.0,31,11.998055
43.0,43,12.034766
29.0,29,12.059092
29.0,29,12.083088
24.0,24,12.10485
26.0,26,12.126968
31.0,31,12.1539
35.0,35,12.182308
38.0,38,12.214828
29.0,29,12.240008
12.0,12,12.250604
61.0,61,12.302997
9.0,9,12.3113
48.0,48,12.350395
32.0,32,12.377244
19.0,19,12.39326
43.0,43,12.427404
17.0,17,12.442484
33.0,33,12.471084
15.0,15,12.483547
16.0,16,12.497912
16.0,16,12.511734
14.0,14,12.524693
37.0,37,12.555408
10.0,10,12.563421
24.0,24,12.583765
35.0,35,12.613874
26.0,26,12.635708
31.0,31,12.661824
19.0,19,12.828887
51.0,51,12.873141
46.0,46,12.91194
38.0,38,12.943227
32.0,32,12.970458
24.0,24,12.991569
31.0,31,13.017396
21.0,21,13.035654
23.0,23,13.055564
15.0,15,13.06794
14.0,14,13.080942
13.0,13,13.092383
25.0,25,13.114307
32.0,32,13.140721
60.0,60,13.191623
16.0,16,13.206215
34.0,34,13.23279
19.0,19,13.249031
73.0,73,13.309048
18.0,18,13.324286
65.0,65,13.377804
20.0,20,13.393582
24.0,24,13.413503
44.0,44,13.450301
33.0,33,13.477345
22.0,22,13.495678
13.0,13,13.50781
58.0,58,13.557646
18.0,18,13.572859
14.0,14,13.584676
64.0,64,13.636696
19.0,19,13.653463
24.0,24,13.671772
17.0,17,13.685717
32.0,32,13.714118
38.0,38,13.744758
19.0,19,13.760937
19.0,19,13.778286
51.0,51,13.819212
28.0,28,13.84109
63.0,63,13.89316
31.0,31,13.919752
39.0,39,13.954069
21.0,21,13.971506
37.0,37,14.002179
21.0,21,14.020412
22.0,22,14.038561
120.0,120,14.136487
18.0,18,14.151787
64.0,64,14.205042
54.0,54,14.249754
14.0,14,14.262027
13.0,13,14.273461
17.0,17,14.286483
72.0,72,14.346291
23.0,23,14.366029
46.0,46,14.404899
25.0,25,14.42511
39.0,39,14.456604
15.0,15,14.469593
48.0,48,14.508704
28.0,28,14.685331
21.0,21,14.703997
27.0,27,14.724635
50.0,50,14.766509
29.0,29,14.790575
30.0,30,14.815149
24.0,24,14.835956
36.0,36,14.866842
32.0,32,14.893851
29.0,29,14.918074
50.0,50,14.956962
38.0,38,14.989611
18.0,18,15.006426
40.0,40,15.039621
42.0,42,15.074382
82.0,82,15.140834
30.0,30,15.166088
16.0,16,15.179512
93.0,93,15.253619
15.0,15,15.266554
27.0,27,15.289102
85.0,85,15.358484
64.0,64,15.410462
23.0,23,15.430023
63.0,63,15.480821
69.0,69,15.538715
34.0,34,15.567743
27.0,27,15.589932
19.0,19,15.606699
98.0,98,15.687229
17.0,17,15.702937
25.0,25,15.723943
39.0,39,15.756534
49.0,49,15.795732
43.0,43,15.829898
22.0,22,15.848719
30.0,30,15.873776
29.0,29,15.898082
27.0,27,15.921592
19.0,19,15.936912
90.0,90,16.008372
31.0,31,16.035399
24.0,24,16.055128
36.0,36,16.086219
38.0,38,16.117238
18.0,18,16.131858
60.0,60,16.179673
19.0,19,16.19657
27.0,27,16.219365
16.0,16,16.233957
54.0,54,16.27743
12.0,12,16.288741
16.0,16,16.302341
23.0,23,16.322365
17.0,17,16.336483
35.0,35,16.364914
35.0,35,16.54757
66.0,66,16.602932
45.0,45,16.639892
34.0,34,16.667777
14.0,14,16.679199
41.0,41,16.712283
15.0,15,16.724477
60.0,60,16.772944
40.0,40,16.805073
52.0,52,16.84447
34.0,34,16.873784
106.0,106,16.959479
32.0,32,16.985313
65.0,65,17.03815
32.0,32,17.065595
51.0,51,17.106669
22.0,22,17.124258
31.0,31,17.149936
20.0,20,17.167252
48.0,48,17.207914
26.0,26,17.230003
60.0,60,17.279062
28.0,28,17.303185
80.0,80,17.369313
24.0,24,17.388171
31.0,31,17.414714
41.0,41,17.450023
30.0,30,17.475735
28.0,28,17.498973
59.0,59,17.547034
51.0,51,17.58763
34.0,34,17.616288
28.0,28,17.6406
21.0,21,17.658739
82.0,82,17.724276
72.0,72,17.784755
51.0,51,17.82735
34.0,34,17.8545
22.0,22,17.872545
30.0,30,17.896118
58.0,58,17.944335
33.0,33,17.970661
15.0,15,17.985106
44.0,44,18.018751
18.0,18,18.033666
42.0,42,18.069184
71.0,71,18.125082
47.0,47,18.164002
53.0,53,18.208281
43.0,43,18.397642
48.0,48,18.436341
57.0,57,18.482432
86.0,86,18.553066
48.0,48,18.591142
44.0,44,18.626666
39.0,39,18.658462
80.0,80,18.723875
70.0,70,18.780195
32.0,32,18.807529
45.0,45,18.844258
55.0,55,18.887115
36.0,36,18.916356
44.0,44,18.953054
46.0,46,18.990995
72.0,72,19.046824
24.0,24,19.066534
39.0,39,19.097735
40.0,40,19.131724
31.0,31,19.156222
20.0,20,19.173052
40.0,40,19.204909
49.0,49,19.246259
42.0,42,19.279803
18.0,18,19.29635
83.0,83,19.360456
34.0,34,19.389384
63.0,63,19.439703
38.0,38,19.471483
14.0,14,19.483316
25.0,25,19.504607
45.0,45,19.541757
61.0,61,19.593566
47.0,47,19.631152
51.0,51,19.67272
12.0,12,19.682365
44.0,44,19.717212
41.0,41,19.750722
169.0,169,19.884665
56.0,56,19.928539
57.0,57,19.972396
58.0,58,20.018727
41.0,41,20.207128
55.0,55,20.251933
72.0,72,20.308728
63.0,63,20.36019
28.0,28,20.383966
24.0,24,20.40358
61.0,61,20.45101
27.0,27,20.473748
86.0,86,20.541791
84.0,84,20.607294
31.0,31,20.632212
39.0,39,20.663846
50.0,50,20.703358
112.0,112,20.793376
26.0,26,20.815792
36.0,36,20.844928
100.0,100,20.923903
86.0,86,20.992866
36.0,36,21.02274
82.0,82,21.086749
69.0,69,21.141633
68.0,68,21.196206
51.0,51,21.234941
20.0,20,21.251744
36.0,36,21.281629
47.0,47,21.318414
64.0,64,21.370696
57.0,57,21.416276
71.0,71,21.473639
43.0,43,21.509058
97.0,97,21.586978
25.0,25,21.608973
51.0,51,21.650139
24.0,24,21.669067
72.0,72,21.727854
53.0,53,21.771117
52.0,52,21.812561
26.0,26,21.985151
56.0,56,22.032106
67.0,67,22.088154
47.0,47,22.124821
62.0,62,22.174359
30.0,30,22.1975
35.0,35,22.22589
40.0,40,22.257594
26.0,26,22.279622
93.0,93,22.352781
62.0,62,22.401442
24.0,24,22.420874
34.0,34,22.448504
97.0,97,22.526321
38.0,38,22.557153
48.0,48,22.595048
52.0,52,22.636903
67.0,67,22.692106
74.0,74,22.750913
55.0,55,22.795029
34.0,34,22.821833
111.0,111,22.910392
36.0,36,22.939171
34.0,34,22.966059
52.0,52,23.007793
42.0,42,23.042423
52.0,52,23.082984
62.0,62,23.131847
103.0,103,23.213941
28.0,28,23.238511
73.0,73,23.296801
46.0,46,23.334019
54.0,54,23.379641
88.0,88,23.45163
51.0,51,23.491904
44.0,44,23.52741
51.0,51,23.569061
72.0,72,23.779296
99.0,99,23.860529
72.0,72,23.917005
41.0,41,23.948473
35.0,35,23.975835
43.0,43,24.010012
33.0,33,24.036974
36.0,36,24.067228
56.0,56,24.112466
95.0,95,24.184518
82.0,82,24.251508
57.0,57,24.299382
81.0,81,24.363264
77.0,77,24.427049
31.0,31,24.452957
40.0,40,24.486505
64.0,64,24.535953
125.0,125,24.63559
83.0,83,24.701206
120.0,120,24.794178
55.0,55,24.838163
36.0,36,24.866934
81.0,81,24.929424
61.0,61,24.977474
44.0,44,25.011276
89.0,89,25.080658
36.0,36,25.10906
48.0,48,25.148563
91.0,91,25.222047
49.0,49,25.262034
79.0,79,25.326094
31.0,31,25.350822
61.0,61,25.399731
55.0,55,25.599196
59.0,59,25.645934
57.0,57,25.690721
77.0,77,25.75201
82.0,82,25.81526
58.0,58,25.861147
68.0,68,25.913043
52.0,52,25.953693
57.0,57,25.999823
86.0,86,26.065896
85.0,85,26.132583
123.0,123,26.227485
95.0,95,26.303223
82.0,82,26.366823
26.0,26,26.389043
119.0,119,26.481836
62.0,62,26.531364
76.0,76,26.5913
34.0,34,26.617175
59.0,59,26.66563
66.0,66,26.718716
34.0,34,26.746225
93.0,93,26.819035
58.0,58,26.865218
63.0,63,26.914761
40.0,40,26.946001
124.0,124,27.045001
86.0,86,27.113561
63.0,63,27.162385
67.0,67,27.381103
82.0,82,27.454162
37.0,37,27.483078
68.0,68,27.536392
68.0,68,27.590495
60.0,60,27.638136
53.0,53,27.679044
66.0,66,27.730458
108.0,108,27.814971
75.0,75,27.874198
74.0,74,27.931327
79.0,79,27.994118
96.0,96,28.067465
84.0,84,28.13526
107.0,107,28.221281
111.0,111,28.307006
163.0,163,28.433225
72.0,72,28.490234
73.0,73,28.547356
151.0,151,28.666603
76.0,76,28.726591
82.0,82,28.790438
31.0,31,28.814326
80.0,80,28.876928
57.0,57,28.922937
37.0,37,28.953047
111.0,111,29.19501
77.0,77,29.25427
81.0,81,29.315745
85.0,85,29.382025
78.0,78,29.442427
65.0,65,29.492456
53.0,53,29.534791
82.0,82,29.59904
108.0,108,29.684697
57.0,57,29.72993
81.0,81,29.792665
70.0,70,29.84738
76.0,76,29.906986
114.0,114,29.99638
63.0,63,30.045379
108.0,108,30.128699
142.0,142,30.240191
79.0,79,30.302348
64.0,64,30.353709
62.0,62,30.401619
59.0,59,30.447136
69.0,69,30.501317
81.0,81,30.564881
77.0,77,30.626819
84.0,84,30.693552
109.0,109,30.934262
82.0,82,30.997826
56.0,56,31.041708
143.0,143,31.154646
78.0,78,31.215978
82.0,82,31.281172
72.0,72,31.337291
38.0,38,31.369114
91.0,91,31.43855
100.0,100,31.516294
80.0,80,31.577378
106.0,106,31.658737
64.0,64,31.707727
43.0,43,31.74065
59.0,59,31.78796
51.0,51,31.828804
50.0,50,31.868989
47.0,47,31.904955
89.0,89,31.975076
66.0,66,32.028662
32.0,32,32.05379
95.0,95,32.128451
56.0,56,32.173625
54.0,54,32.215552
82.0,82,32.281022
165.0,165,32.410276
103.0,103,32.643908
143.0,143,32.761412
61.0,61,32.808841
104.0,104,32.889281
75.0,75,32.948147
46.0,46,32.983061
83.0,83,33.046763
87.0,87,33.112808
80.0,80,33.174602
61.0,61,33.2236
95.0,95,33.298477
50.0,50,33.33749
77.0,77,33.399938
59.0,59,33.445733
89.0,89,33.514293
88.0,88,33.582604
50.0,50,33.622648
111.0,111,33.710995
74.0,74,33.769722
93.0,93,33.842021
63.0,63,33.891332
91.0,91,33.960776
53.0,53,34.003329
56.0,56,34.046876
127.0,127,34.147045
48.0,48,34.185619
66.0,66,34.235959
52.0,52,34.437098
70.0,70,34.492018
74.0,74,34.549873
58.0,58,34.59626
132.0,132,34.69878
63.0,63,34.747778
200.0,200,34.909217
66.0,66,34.960814
47.0,47,34.996685
51.0,51,35.036371
84.0,84,35.101522
91.0,91,35.171719
82.0,82,35.236088
90.0,90,35.308478
53.0,53,35.351533
85.0,85,35.415807
121.0,121,35.509291
58.0,58,35.554248
60.0,60,35.602509
77.0,77,35.666474
161.0,161,35.792989
67.0,67,35.844284
96.0,96,35.918669
49.0,49,35.957592
67.0,67,36.00989
71.0,71,36.219196
50.0,50,36.258445
80.0,80,36.321784
135.0,135,36.424197
121.0,121,36.515754
148.0,148,36.631602
45.0,45,36.665609
62.0,62,36.713556
137.0,137,36.820625
50.0,50,36.860465
102.0,102,36.939399
66.0,66,36.990011
62.0,62,37.039852
91.0,91,37.115662
83.0,83,37.182355
90.0,90,37.25216
95.0,95,37.326812
187.0,187,37.472289
69.0,69,37.526692
79.0,79,37.589509
58.0,58,37.636331
48.0,48,37.676305
97.0,97,37.751762
63.0,63,37.968085
68.0,68,38.024999
132.0,132,38.15575
63.0,63,38.205199
123.0,123,38.307086
187.0,187,38.463446
61.0,61,38.511789
58.0,58,38.556618
72.0,72,38.615916
52.0,52,38.658763
66.0,66,38.714207
34.0,34,38.743292
138.0,138,38.856132
56.0,56,38.899716
176.0,176,39.040805
63.0,63,39.092327
50.0,50,39.133995
90.0,90,39.20431
128.0,128,39.30822
78.0,78,39.374223
64.0,64,39.436062
36.0,36,39.472427
94.0,94,39.559301
53.0,53,39.608845
127.0,127,39.884038
96.0,96,39.958828
28.0,28,39.981534
35.0,35,40.009474
76.0,76,40.071629
122.0,122,40.175998
165.0,165,40.314695
89.0,89,40.388681
69.0,69,40.447202
46.0,46,40.4859
81.0,81,40.553049
76.0,76,40.616904
85.0,85,40.686659
90.0,90,40.760623
84.0,84,40.834569
104.0,104,40.929789
54.0,54,40.976632
66.0,66,41.030638
139.0,139,41.148221
95.0,95,41.226662
86.0,86,41.298951
97.0,97,41.377806
62.0,62,41.428683
85.0,85,41.497738
55.0,55,41.54412
58.0,58,41.755477
174.0,174,41.915996
108.0,108,42.016469
95.0,95,42.105412
142.0,142,42.225977
60.0,60,42.277922
137.0,137,42.397742
71.0,71,42.455139
128.0,128,42.561993
118.0,118,42.657316
56.0,56,42.710408
54.0,54,42.764342
123.0,123,42.879609
52.0,52,42.920342
73.0,73,42.978239
113.0,113,43.066841
67.0,67,43.118664
57.0,57,43.166359
69.0,69,43.224303
68.0,68,43.281617
77.0,77,43.34519
84.0,84,43.413827
50.0,50,43.456301
74.0,74,43.684318
143.0,143,43.796611
40.0,40,43.830337
118.0,118,43.927185
52.0,52,43.968455
63.0,63,44.019413
63.0,63,44.069885
60.0,60,44.116442
66.0,66,44.168632
75.0,75,44.229052
87.0,87,44.295786
71.0,71,44.35249
83.0,83,44.417469
82.0,82,44.479376
99.0,99,44.55759
67.0,67,44.609314
120.0,120,44.70273
72.0,72,44.759782
74.0,74,44.819235
67.0,67,44.870828
82.0,82,44.935108
79.0,79,44.996703
69.0,69,45.048706
67.0,67,45.10052
72.0,72,45.159746
113.0,113,45.244802
86.0,86,45.469228
75.0,75,45.529251
60.0,60,45.5753
119.0,119,45.667546
51.0,51,45.707822
50.0,50,45.747679
77.0,77,45.808833
81.0,81,45.87193
44.0,44,45.906826
29.0,29,45.930702
200.0,200,46.084248
55.0,55,46.127435
67.0,67,46.18133
101.0,101,46.259734
83.0,83,46.32444
62.0,62,46.376006
57.0,57,46.422031
55.0,55,46.470927
110.0,110,46.560828
68.0,68,46.61368
66.0,66,46.664662
39.0,39,46.695743
47.0,47,46.734594
121.0,121,46.836297
83.0,83,46.905264
160.0,160,47.03792
200.0,200,47.376042
104.0,104,47.46539
65.0,65,47.520777
93.0,93,47.596099
60.0,60,47.643864
82.0,82,47.710197
51.0,51,47.751582
67.0,67,47.808641
78.0,78,47.87403
105.0,105,47.963724
52.0,52,48.01152
200.0,200,48.217236
37.0,37,48.25551
68.0,68,48.310315
84.0,84,48.377001
157.0,157,48.501052
56.0,56,48.545956
101.0,101,48.626979
107.0,107,48.710459
61.0,61,48.759168
69.0,69,48.815802
57.0,57,48.863312
57.0,57,48.908003
63.0,63,49.133731
68.0,68,49.200164
87.0,87,49.290849
96.0,96,49.384222
150.0,150,49.509928
134.0,134,49.619689
77.0,77,49.682109
49.0,49,49.723026
107.0,107,49.807475
55.0,55,49.8531
76.0,76,49.915689
83.0,83,49.981439
70.0,70,50.042265
66.0,66,50.097724
96.0,96,50.175323
159.0,159,50.302354
141.0,141,50.414374
54.0,54,50.458758
69.0,69,50.514606
42.0,42,50.548447
68.0,68,50.616896
68.0,68,50.673437
69.0,69,50.737582
83.0,83,50.820143
63.0,63,50.875476
91.0,91,51.109159
52.0,52,51.151021
91.0,91,51.222287
75.0,75,51.282509
80.0,80,51.34991
66.0,66,51.405203
70.0,70,51.467076
100.0,100,51.548407
54.0,54,51.593354
41.0,41,51.626261
61.0,61,51.674107
70.0,70,51.732713
93.0,93,51.804494
92.0,92,51.87902
133.0,133,51.983624
75.0,75,52.0464
55.0,55,52.088424
60.0,60,52.136226
72.0,72,52.1948
63.0,63,52.243859
69.0,69,52.29943
56.0,56,52.343609
106.0,106,52.427447
133.0,133,52.529879
58.0,58,52.573994
102.0,102,52.653096
141.0,141,52.965504
73.0,73,53.049044
122.0,122,53.168283
57.0,57,53.211701
81.0,81,53.278546
58.0,58,53.325716
80.0,80,53.393105
130.0,130,53.494866
90.0,90,53.564276
102.0,102,53.642739
71.0,71,53.697539
106.0,106,53.787383
68.0,68,53.847184
61.0,61,53.895907
51.0,51,53.93489
78.0,78,53.998225
87.0,87,54.066223
101.0,101,54.145839
122.0,122,54.240943
99.0,99,54.320906
82.0,82,54.38887
160.0,160,54.520899
84.0,84,54.74657
75.0,75,54.808399
80.0,80,54.872441
104.0,104,54.958313
90.0,90,55.034006
75.0,75,55.09584
138.0,138,55.209083
140.0,140,55.326946
94.0,94,55.401623
101.0,101,55.496574
74.0,74,55.556332
116.0,116,55.650714
157.0,157,55.778486
55.0,55,55.825311
61.0,61,55.881409
84.0,84,55.950431
82.0,82,56.02634
69.0,69,56.094906
65.0,65,56.154216
59.0,59,56.209557
86.0,86,56.283064
53.0,53,56.329231
176.0,176,56.637912
90.0,90,56.726392
90.0,90,56.818789
71.0,71,56.884423
55.0,55,56.937206
55.0,55,56.987384
100.0,100,57.074084
58.0,58,57.125763
69.0,69,57.188807
145.0,145,57.346546
99.0,99,57.439234
109.0,109,57.537985
97.0,97,57.623694
70.0,70,57.687191
78.0,78,57.758268
83.0,83,57.832327
55.0,55,57.883535
68.0,68,57.945729
66.0,66,58.00588
69.0,69,58.069067
90.0,90,58.153415
94.0,94,58.239657
64.0,64,58.303518
93.0,93,58.388402
62.0,62,58.446884
181.0,181,58.803094
56.0,56,58.867425
94.0,94,58.958237
62.0,62,59.02026
142.0,142,59.165771
76.0,76,59.23117
95.0,95,59.315493
62.0,62,59.377052
97.0,97,59.458935
84.0,84,59.541475
56.0,56,59.596397
101.0,101,59.681443
94.0,94,59.758708
116.0,116,59.858846
190.0,190,60.023263
57.0,57,60.071623
85.0,85,60.139051
77.0,77,60.201552
58.0,58,60.249591
51.0,51,60.290905
68.0,68,60.346203
166.0,166,60.474416
59.0,59,60.519975
