# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
35.0,35,19.320521
59.0,59,19.368225
70.0,70,19.42305
25.0,25,19.444279
60.0,60,19.493997
49.0,49,19.534894
41.0,41,19.568857
25.0,25,19.590593
46.0,46,19.627456
43.0,43,19.662938
94.0,94,19.738583
48.0,48,19.777892
85.0,85,19.843872
24.0,24,19.863104
53.0,53,19.904252
97.0,97,19.980834
21.0,21,19.996745
36.0,36,20.177419
17.0,17,20.19274
69.0,69,20.250331
63.0,63,20.300929
22.0,22,20.319428
66.0,66,20.37282
62.0,62,20.423249
57.0,57,20.46845
88.0,88,20.537946
19.0,19,20.554563
48.0,48,20.589348
14.0,14,20.601233
53.0,53,20.644399
91.0,91,20.716729
35.0,35,20.745541
26.0,26,20.767074
38.0,38,20.797316
53.0,53,20.839711
24.0,24,20.860619
31.0,31,20.885039
113.0,113,20.973949
50.0,50,21.015433
81.0,81,21.078576
76.0,76,21.138658
45.0,45,21.175142
114.0,114,21.2655
12.0,12,21.275781
62.0,62,21.32535
39.0,39,21.357215
31.0,31,21.382835
44.0,44,21.417112
74.0,74,21.477574
53.0,53,21.520526
39.0,39,21.552642
17.0,17,21.565877
47.0,47,21.604544
38.0,38,21.635855
47.0,47,21.673716
95.0,95,21.751094
39.0,39,21.782567
52.0,52,21.824125
75.0,75,22.038381
56.0,56,22.083238
89.0,89,22.155981
137.0,137,22.265333
82.0,82,22.32955
114.0,114,22.419357
91.0,91,22.492376
27.0,27,22.514153
39.0,39,22.545405
78.0,78,22.608358
51.0,51,22.650635
36.0,36,22.679187
74.0,74,22.739233
66.0,66,22.79123
73.0,73,22.850279
134.0,134,22.956307
64.0,64,23.007087
26.0,26,23.029681
82.0,82,23.094066
32.0,32,23.119446
67.0,67,23.17239
62.0,62,23.223198
45.0,45,23.259982
94.0,94,23.336552
28.0,28,23.360521
44.0,44,23.395167
51.0,51,23.436842
28.0,28,23.460952
71.0,71,23.516703
46.0,46,23.553881
35.0,35,23.582374
29.0,29,23.605194
64.0,64,23.813349
68.0,68,23.866866
86.0,86,23.932751
96.0,96,24.007771
38.0,38,24.040315
59.0,59,24.087663
22.0,22,24.105588
24.0,24,24.125508
82.0,82,24.187669
54.0,54,24.231243
47.0,47,24.270589
33.0,33,24.296772
47.0,47,24.333916
45.0,45,24.372184
57.0,57,24.417995
34.0,34,24.445342
36.0,36,24.475805
89.0,89,24.546601
45.0,45,24.582581
36.0,36,24.610154
67.0,67,24.66324
48.0,48,24.702027
18.0,18,24.716294
63.0,63,24.766008
103.0,103,24.846646
36.0,36,24.875183
54.0,54,24.915612
