approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00075569574,0.006378174,200.0,200.0,-0.0002918243408203125,4819,302,0.41952315,-0.00043170422,618496,525.8219268321991,2473984,89.41942
0.0001794081,0.0,200.0,200.0,-0.005316615104675293,4819,303,0.41773197,-7.577051e-05,620544,527.5221900939941,2482176,89.67516
0.00086655293,0.008575439,200.0,200.0,-0.0013058185577392578,4824,304,0.4313773,-0.0005586358,622592,529.2205100059509,2490368,89.713905
0.0011039019,0.0008544922,200.0,200.0,-0.0028753280639648438,4806,305,0.43900126,-0.00021229552,624640,530.9253559112549,2498560,89.4294
0.00051570154,0.002532959,200.0,200.0,-0.002779364585876465,4798,306,0.43013626,-0.00026386493,626688,532.6329710483551,2506752,89.42855
0.0004865721,3.0517578e-05,200.0,200.0,-0.0012004375457763672,4802,307,0.43056506,2.78496e-06,628736,534.3391580581665,2514944,89.32653
0.000259304,0.00024414062,200.0,200.0,-0.0010322332382202148,4812,308,0.42827758,-0.00011429732,630784,536.0418839454651,2523136,89.19329
0.0005044928,0.0007019043,200.0,200.0,0.0033171772956848145,4726,309,0.41772708,-6.092008e-05,632832,537.7755899429321,2531328,88.71997
3.535385e-05,0.0,200.0,200.0,0.006993770599365234,4815,310,0.41552442,1.7628045e-05,634880,539.4773707389832,2539520,88.21352
0.00045496365,0.0037231445,200.0,200.0,0.008744120597839355,4807,311,0.42873397,-0.00026397518,636928,541.1817729473114,2547712,88.16159
0.00019151179,0.0,200.0,200.0,0.013793587684631348,4862,312,0.43452844,-0.00016194701,638976,542.8669259548187,2555904,85.88188
0.00047815405,9.1552734e-05,200.0,200.0,0.017377495765686035,4789,313,0.42878664,-0.00040888423,641024,544.5777831077576,2564096,88.40586
0.0005778609,0.0015258789,200.0,200.0,0.00815349817276001,4800,314,0.42802158,-0.00033026244,643072,546.2846310138702,2572288,88.73012
0.0010214151,0.004119873,200.0,200.0,0.006900608539581299,4805,315,0.42850554,-0.00050222664,645120,547.9896419048309,2580480,89.40348
0.00015129967,0.0,200.0,200.0,-0.007539868354797363,4798,316,0.42051145,-9.789875e-05,647168,549.6972329616547,2588672,88.62696
0.0007202325,0.004638672,200.0,200.0,-0.003790140151977539,4818,317,0.40625596,-0.00037393044,649216,551.3977389335632,2596864,91.839134
