approxkl,clipfrac,dataset_rew,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_num_dones,serial_timesteps,time_elapsed,total_num_dones,total_timesteps,value_loss
1.6206319e-05,0.0,18246.483335375786,311.54,2749.1328,-0.0008375644683837891,226,21,1.401778,0.00011819767,5,43008,1053.591854095459,23,172032,10368.506
9.5648415e-05,0.0,18170.345360040665,309.11,2726.6572,-0.0015416145324707031,228,22,1.4016273,-0.00025337798,5,45056,1089.3881902694702,23,180224,10271.147
0.00012670347,0.0,18153.283099889755,302.54,2659.0042,0.000941932201385498,226,23,1.4004095,-0.0004872869,5,47104,1125.6223039627075,23,188416,10226.058
0.0002632779,0.0,18257.229282855988,309.06,2723.2144,0.002373218536376953,235,24,1.3992615,-0.00038265096,5,49152,1160.404587984085,22,196608,10359.644
6.0010916e-05,0.0,18204.51175200939,313.47,2769.831,0.0017372369766235352,220,25,1.4007618,-0.00018034734,6,51200,1197.5231432914734,24,204800,10259.329
0.00017871382,0.0,18398.10377573967,321.93,2849.3047,0.0009198188781738281,267,26,1.4018013,-6.566018e-05,4,53248,1228.188870191574,19,212992,10606.86
6.9623646e-05,0.0,18241.544060468674,327.2,2900.0493,0.0006424784660339355,239,27,1.4029226,-0.00030925692,5,55296,1262.4411821365356,22,221184,10308.832
0.00010981997,0.0,18393.33798313141,341.6,3040.2244,0.0015760064125061035,255,28,1.4009718,0.00017824811,5,57344,1294.4559061527252,20,229376,10537.648
9.455728e-05,0.0,18203.1182230711,347.19,3088.3635,0.0027238130569458008,245,29,1.4004264,-0.000117672374,5,59392,1327.8417000770569,21,237568,10279.418
5.1884854e-05,0.0,18552.730970978737,367.71,3283.5159,0.0010189414024353027,279,30,1.398982,0.00026917364,4,61440,1357.1895911693573,18,245760,10762.342
0.000109354485,0.0,18394.9806432724,370.34,3308.9329,0.002537369728088379,268,31,1.3997806,-0.00021916705,4,63488,1388.3534400463104,19,253952,10551.941
0.00016726651,0.0,18497.13042640686,381.4,3416.9766,0.0018943548202514648,264,32,1.4003569,-0.00013473898,4,65536,1419.3603730201721,19,262144,10645.02
4.402775e-05,0.0,18331.263343691826,386.62,3469.3154,0.0002778172492980957,244,33,1.4018264,-0.00047409342,5,67584,1452.928013086319,21,270336,10404.867
0.0001412555,3.0517578e-05,18327.149248600006,385.85,3462.6292,0.003182828426361084,248,34,1.4028774,-0.0002796345,5,69632,1485.8669471740723,20,278528,10398.869
8.5956795e-05,0.0,18333.78224492073,374.68,3353.8928,0.0020492076873779297,251,35,1.4034014,-1.7782222e-05,5,71680,1518.39551115036,20,286720,10382.741
0.0010418562,0.006072998,18267.543018579483,375.09,3352.1184,0.0025292038917541504,267,36,1.4029481,-0.0014453507,4,73728,1548.9739360809326,19,294912,10348.43
0.0009208729,0.0038757324,18278.06394469738,374.02,3334.1826,0.004927158355712891,266,37,1.4022515,-0.0015470505,4,75776,1579.6734011173248,19,303104,10327.519
0.001172872,0.010345459,18039.63152205944,387.88,3448.1152,0.01085364818572998,292,38,1.4013886,-0.0021432051,4,77824,1607.7033200263977,17,311296,10082.904
0.0009935366,0.0021972656,18014.334862113,395.04,3500.2297,0.012250304222106934,289,39,1.4021144,0.0006397179,4,79872,1635.989583015442,17,319488,10063.374
0.000274548,3.0517578e-05,18195.23456656933,408.61,3615.5393,0.01253807544708252,305,40,1.4032836,-0.00052753085,4,81920,1662.8294892311096,16,327680,10299.736
0.0017965736,0.016906738,18221.41734778881,425.81,3768.1697,0.014147520065307617,324,41,1.4022115,-0.0026436206,3,83968,1688.7275891304016,15,335872,10333.432
0.00090630713,0.0038146973,18047.31944322586,446.83,3946.1123,0.045856475830078125,381,42,1.4017413,-0.0008051582,3,86016,1710.1858201026917,12,344064,10180.587
0.0015878824,0.009887695,18494.87030428648,474.11,4190.0723,0.04056888818740845,500,43,1.4030948,-0.001777942,2,88064,1726.564836025238,8,352256,10800.603
0.00022511202,0.0,18228.505180492997,513.42,4537.6045,0.04070138931274414,432,44,1.4057493,-0.0005684975,2,90112,1745.5124161243439,10,360448,10394.191
0.0025584048,0.022247314,18508.90169620514,548.97,4861.1494,0.03923821449279785,598,45,1.4066556,0.0011761879,1,92160,1759.2100920677185,6,368640,10882.887
0.0024666528,0.027435303,18575.799244225025,581.05,5153.799,0.03636413812637329,491,46,1.4070894,-0.0024086777,2,94208,1775.8711500167847,8,376832,10880.769
0.002071515,0.02154541,18549.79212784767,602.94,5360.065,0.04482394456863403,504,47,1.408584,-0.001293724,2,96256,1792.1152849197388,8,385024,10803.42
0.002534765,0.024627686,18371.14903140068,636.66,5667.0684,0.028424382209777832,503,48,1.411272,-0.0029100697,2,98304,1808.3862972259521,8,393216,10609.007
0.00033164927,0.000579834,18326.984641630203,672.44,5990.215,0.024636685848236084,546,49,1.4128913,-0.001167773,1,100352,1823.364734172821,7,401408,10556.351
0.0023124907,0.015655518,18835.008698046207,699.51,6242.985,0.040101051330566406,602,50,1.412545,0.0013775837,1,102400,1836.955547094345,6,409600,11186.85
0.002267634,0.027191162,18829.28359466791,725.07,6485.759,0.03850984573364258,497,51,1.4123703,-0.0031232224,2,104448,1854.0523619651794,8,417792,11133.9
0.0008458295,0.0038146973,19042.536325789988,738.67,6618.736,0.020151078701019287,974,52,1.4146619,-0.002509402,0,106496,1862.456582069397,2,425984,11510.174
0.0026585713,0.030700684,18754.58031320572,762.85,6847.7505,0.04123657941818237,497,53,1.4157941,0.0014031741,2,108544,1878.9303243160248,8,434176,11024.682
0.0024804713,0.028503418,18765.928314328194,788.49,7087.4917,0.031117618083953857,500,54,1.4165015,-0.001546821,2,110592,1895.2878949642181,8,442368,11023.03
0.0007134318,0.0005493164,19053.664765536785,803.94,7235.41,0.02233487367630005,831,55,1.4175843,-0.0005093685,0,112640,1905.146065235138,3,450560,11478.256
